"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-03-30","5.82",,"0.01","0.0","0.0",,"67","40","   10","   10","0.0","31.1","40.9",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-03-31","5.37",,"0.00","0.0","0.0",,"67","47","   10","  360","0.0","17.0","23.9","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-01","6.71",,"0.25","0.0","0.0",,"57","52","   30","   30","0.0","16.1","19.0","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-02","8.50",,"0.38","0.0","0.0",,"54","49","  110","  110","0.0","23.0","28.0","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-03","9.62",,"1.03","0.0","0.0",,"53","46","  320","  320","0.0","21.9","31.1","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-04","7.16",,"0.02","0.0","0.0",,"58","40","  300","  300","0.0","30.0","46.1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-05","13.42",,"0.00","0.0","0.0",,"57","40","  330","  340","0.0","25.1","38.0",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-06","13.87",,"0.00","0.0","0.0",,"57","41","  330","  340","0.0","28.0","38.0",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-07","8.72",,"0.00","0.0","0.0",,"65","43","  310","  320","0.0","17.0","25.9",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-08","6.26",,"0.00","0.0","0.0",,"71","44","   60","  180","0.0","14.1","19.0",,,,,,,
